origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry
VIVO;2023-01-02 09:23:00;JANEIRO/2023;01/2023;RUA POLONIA 1114, COPACABANA;VENDA NOVA;2023;POINT (-43.93766843 -19.89405861)
VIVO;2023-01-02 09:23:00;JANEIRO/2023;01/2023;RUA POLONIA 1114, COPACABANA;VENDA NOVA;2023;POINT (-43.94248136 -19.91171973)
VIVO;2023-01-02 10:09:00;JANEIRO/2023;01/2023;RUA TREM DE FERRO 605, LINDEIA;BARREIRO;2023;POINT (-43.94446903 -19.89869665)
VIVO;2023-01-02 10:09:00;JANEIRO/2023;01/2023;RUA TREM DE FERRO 605, LINDEIA;BARREIRO;2023;POINT (-43.9487874 -19.93537607)
VIVO;2023-01-02 10:44:00;JANEIRO/2023;01/2023;RUA JAVARI 1280, RENASCENCA;NORDESTE;2023;POINT (-43.9487874 -19.93537607)
VIVO;2023-01-02 10:44:00;JANEIRO/2023;01/2023;RUA JAVARI 1280, RENASCENCA;NORDESTE;2023;POINT (-43.94446903 -19.89869665)
SGO;2023-01-02 11:46:00;JANEIRO/2023;01/2023;AVENIDA CRISTIANO MACHADO 11833, VILA CLORIS;VENDA NOVA;2023;POINT (-43.96922405 -19.89604845)
OI;2023-01-02 12:04:00;JANEIRO/2023;01/2023;RUA WALDIR CESAR BRANQUINHO 106, TUNEL DE IBIRITE;BARREIRO;2023;POINT (-43.92736456 -19.85512454)
OI;2023-01-02 12:04:00;JANEIRO/2023;01/2023;RUA WALDIR CESAR BRANQUINHO 106, TUNEL DE IBIRITE;BARREIRO;2023;POINT (-43.94406411 -19.88961236)
VIVO;2023-01-02 14:35:00;JANEIRO/2023;01/2023;RUA SABRINA FERREIRA DE OLIVEIRA 127, CARDOSO;BARREIRO;2023;POINT (-43.92736456 -19.85512454)
VIVO;2023-01-02 14:35:00;JANEIRO/2023;01/2023;RUA SABRINA FERREIRA DE OLIVEIRA 127, CARDOSO;BARREIRO;2023;POINT (-43.94406411 -19.88961236)
OI;2023-01-02 15:20:00;JANEIRO/2023;01/2023;RUA ONOFRE FIRMINO DA SILVA 154, SAO GABRIEL;NORDESTE;2023;POINT (-44.00410521 -20.0008045)
OI;2023-01-02 15:20:00;JANEIRO/2023;01/2023;RUA ONOFRE FIRMINO DA SILVA 154, SAO GABRIEL;NORDESTE;2023;POINT (-43.94176162 -19.86185363)
VIVO;2023-01-02 16:07:00;JANEIRO/2023;01/2023;RUA SALDANHA DA GAMA 106, COLEGIO BATISTA;LESTE;2023;POINT (-44.00410521 -20.0008045)
VIVO;2023-01-02 16:07:00;JANEIRO/2023;01/2023;RUA SALDANHA DA GAMA 106, COLEGIO BATISTA;LESTE;2023;POINT (-43.94176162 -19.86185363)
CLARO;2023-01-02 22:00:00;JANEIRO/2023;01/2023;RUA GRAO PARA 41, SANTA EFIGENIA;CENTRO-SUL;2023;POINT (-44.0231184 -19.97493355)
CLARO;2023-01-02 22:00:00;JANEIRO/2023;01/2023;RUA GRAO PARA 41, SANTA EFIGENIA;CENTRO-SUL;2023;POINT (-43.95270947 -19.82093787)
